example_english,example_korean
I played the last game with my friend.	,나는 지난 게임을 친구와 했어요.
I got the last cookie from the jar.,나는 항아리에서 마지막 쿠키를 받았어요.
"We play, read, and lastly, have a snack.","우리는 놀고, 책을 읽고, 마지막으로 간식을 먹어요."
I am late to school.,나는 학교에 늦었어요.
I have the latest toy.	,나는 최신의 장난감을 가지고 있어요.
My late grandpa loved to tell funny stories.,제 고인이 된 할아버지는 재미있는 이야기를 들려주셨어요.
Stars shine in the late-night sky.,별들이 심야의 하늘에서 빛나고 있어요.
I will play later with my dog.,나중에 강아지와 놀 거예요.
My friend got the latest doll.,내 친구는 최신 인형을 받았어요.
He will laugh off small mistakes.,그는 작은 실수를 웃어넘겨요.
Laughter is the sound of happiness.,웃음은 행복의 소리로 들려요.
I put my laundry in a basket.,나는 내 세탁물을 바구니에 넣어요.
The hen lays eggs.,암탉이 알을 낳아요.
I lay the blanket on the bed.,나는 담요를 침대 위에 눕혔어요.
The hen lays an egg.,암탉이 알을 낳아요.
The hen can lay an egg.,닭이 알을 낳을 수 있어요.
We study hard to lead to success.,우리는 열심히 공부해서 성공에 이르어요.
The teacher will lead us to the museum.,선생님이 우리를 박물관으로 안내해요.
The lead in our play is very kind.	Our play’s lead is very kind.,우리 연극의 주인공이 아주 착해요.	연극의 주연이 아주 착해요.
The lead is at the top of the page.,머리글은 페이지의 맨 위에 있어요.
The pipe is made of lead.,그 파이프는 납으로 만들어졌어요.
My coach will lead by example during practice.,내 코치가 연습 중에 솔선수범해요.
Eating too much candy can lead to a toothache.,너무 많은 사탕을 먹으면 치통이 발생할 수 있어요.
The yellow trail will lead to the park.,노란 길이 공원으로 이어져요.
The signs lead to the zoo.,표지판이 동물원으로 이끌어요.
The leader guides us in fun ways.,지도자가 우리를 즐겁게 인도해요.
Our class leader shows strong leadership every day.,우리 반 대표가 매일 강한 지도력을 보여요.
I learn fun things in class.	,나는 학급에서 재미있는 것들을 배우고 있어요.
I leash my dog before our park stroll.,나는 공원 산책 전에 강아지에 가죽 끈을 매요.
I hold the leash for my dog.	My dog walks safely.,나는 내 개의 가죽 끈을 잡고 있어요.	우리 개가 안전하게 걷고 있어요.
The leather is brown and soft.,가죽은 갈색이고 부드러워요.
Do not leave your toy behind.,장난감을 뒤에 남기지 마세요~요.
I leave for the park today.,나는 오늘 공원으로 떠나요.
The left door is open.,왼쪽 문이 열려 있어요.
I eat leftover food for lunch.,나는 점심으로 남은 음식을 먹어요.
The leftover sandwich is on the table.,남은 샌드위치가 테이블 위에 있어요.
We eat leftovers for lunch.,우리는 남은 음식을 점심 때 먹어요.
I use my leg to hop around.,나는 다리로 깡충깡충 뛰어요.
I use my leg to jump high.,나는 다리로 높게 뛸 수 있어요.
I drink lemonade	on a sunny day.,나는 맑은 날 레모네이드를 마셔요.
We measured the length of the stick.,우리는 막대의 길이를 잰어요.
I have less candy than my friend.,나는 친구보다 사탕이 적어요.
I learned a lesson from the story.,나는 그 이야기에서 교훈을 배웠어요.
I enjoy my lesson at school.,저는 학교에서 수업을 즐겨요.
My mom let me play with my doll.,엄마가 내게 인형과 놀도록 허락했어요.
Let John clean the room.,존이 방을 청소하도록 시키세요.
I hope you do not let me down.,네가 나를 실망시키지 않기를 바래요.
"When you are sad, let it go and play.",슬플 때는 그쯤 해 두고 놀아요.
I let my hair down at the picnic with friends.,친구들과 소풍에서 느긋하게 즐기고 있어요.
Let's play together in the park.,우리 함께 공원에서 놀아요.
I letter my name on paper.,나는 종이에 내 이름을 글씨로 써요.
I write a letter to my friend.,나는 친구에게 편지를 써요.
I write a letter to my friend.,나는 친구에게 편지를 써요.
I eat lettuce with my sandwich.,나는 샌드위치와 함께 상추를 먹어요.
The librarian helps kids find fun books.,사서가 아이들이 재미있는 책을 찾도록 도와줘요.
I go to the library.	,저는 도서관에 가요.
I lie on the soft mat.,나는 부드러운 매트 위에 눕고 있어요.
The toy lies on the floor.,장난감이 바닥에 놓여 있어요.
The book lies on the desk.,책이 책상 위에 있어요.
The blanket lies on the floor.,담요가 바닥에 펼쳐져 있어요.
Life is a beautiful gift.,생명은 아름다운 선물이예요.
My life is fun with school and play.,내 생활은 학교와 놀이로 즐거워요.
Life is full of fun and learning.,인생은 재미와 배움으로 가득해요.
The toy is lifeless on the table.,장난감이 탁자 위에서 활기가 없어요.
I enjoy every day of my lifetime.,나는 평생 매일 즐거워요.
A turtle has a long lifetime.	,거북이는 긴 수명을 가지고 있어요.
The lamp lights the dark room.,램프가 어두운 방을 밝게 해요.
The light from the lamp is bright.,전등에서 나오는 빛이 밝아요.
I turn on the light.,나는 전등을 켜요.
My friend told me	his light on the movie.,친구가 영화에 대한 관점을 말해줬어요.
I light up the room with a happy smile.,나는 행복한 미소로 방을 밝혀요.
Press the button and the room lights up.,버튼을 누르면 방이 환해져요.
A lighthouse helps ships see at night.,등대가 밤에 선박들을 인도해줘요.
Lightning is bright and fast in the sky.,번개가 하늘에서 빠르고 밝게 빛나요.
I like my blue ball.,나는 내 파란 공을 좋아해요.
My balloon is like a rainbow.,내 풍선은 무지개처럼 생겼어요.
I met a like-minded friend at school.,학교에서 뜻이 같은 친구를 만났어요.
I see a lime on my table.,탁자 위에 라임이 보여요.
I see some lime on the ground.,나는 땅에서 석회를 봐요.
I have a limited number of candies.	I have a limited number of candies.,나는 한정된 수의 사탕이 있어요.	나는 한정된 수의 사탕이 있어요.
"Kids, please line up for lunch.",아이들이 점심시간에 줄을 서요.
I draw a line on my paper.,나는 내 종이에 줄을 그렸어요.
The teacher draws a line on the board.,선생님이 칠판에 선을 그렸어요.
I draw a long line on the board.,나는 칠판에 긴 행을 그려요.
The singer sings the line on stage.,가수가 무대에서 가사를 부르고 있어요.
The actor said his line on stage.,배우가 무대에서 대사를 말했어요.
The actor reads his line on stage.,배우가 무대에서 그의 대사를 읽고 있어요.
The telephone line rings when someone calls.,전화 선이 누군가 전화를 할 때 울려요.
I ride the blue line bus.,나는 파란 노선 버스를 타고 있어요.
Please line up outside the classroom.,교실 밖에서 줄을 서요.
The lion is strong and brave.,사자는 힘있고 용감해요.
Listen to the birds chirping in the park.,공원에서 새들이 지저귀는 소리를 들어요.
The listener hears a nice song.,청취자가 예쁜 노래를 들어요.
I read a literary book at school.,나는 학교에서 문학적인 책을 읽어요.
I read literature at school.	I love learning new words.,나는 학교에서 문학을 읽어요.	새로운 단어를 배우는 것을 좋아해요.
This literature is our printed school guide.,이 안내 인쇄물이 우리 학교에서 사용돼요.
The little puppy plays in the park.,어린 강아지가 공원에서 놀고 있어요.
The little boy plays with a ball.,작은 소년이 공으로 놀고 있어요.
There is little water in the cup.,컵 안에 물이 거의 없어요.
I live with my family.,나는 가족과 함께 살고 있어요.
I see a live fish in the pond.,나는 연못에서 살아있는 물고기를 봐요.
We watch the game live	on TV.,우리는 TV에서 생방송으로 경기를 보고 있어요.
I live by my values.,나는 내 신조에 따라 살아요.
The lively puppy plays in the sunny park.,활기 넘치는 강아지가 맑은 공원에서 놀고 있어요.
The lively puppy runs around the park.,격렬한 강아지가 공원에서 뛰어놀아요.
A lizard is crawling on a rock.	,도마뱀이 바위 위에서 기어가고 있어요.
The location of my class is at the park.,내 수업 위치가 공원에 있어요.
The location scout finds a good place to film.,장소를 섭외하는 사람이 촬영할 좋은 곳을 찾아요.
I put my book in my locker.,나는 내 사물함에 책을 넣어요.
We use logic to solve simple puzzles.,우리는 단순한 퍼즐을 풀 때 논리를 사용해요.
The answer is very logical.,답변이 아주 어울려요.
Anna uses logical steps to solve a puzzle. 	,안나가 퍼즐을 풀 때 논리적인 단계를 사용해요.
Loneliness is when you feel very alone.,고독은 혼자라고 느낄 때예요.
I feel lonely when my friend is away.,친구가 없어서 외로워요.
The lonely puppy waited for his friend.,외로운 강아지가 친구를 기다리고 있어요.
I long to visit my Grandma.,저는 할머니를 방문하기를 갈망해요.
This is a long road.,이것은 길이가 긴 도로예요.
The rope is long.,밧줄이 길어요.
I have a longing for hugs.,나는 포옹을 간절히 바라고 있어요.
I have a longing wish to visit the park.,나는 공원을 방문하기를 간절히 원해요.
Look at the blue bird in the tree.,나무에서 파란 새를 봐요.
You look like a star today.,너는 별처럼 보여요.
The look in her eyes is kind.,그녀의 눈빛이 친절해요.
Your look is pretty today.,네 외모가 오늘 예뻐요.
She has a friendly look.,그녀는 다정한 표정을 하고 있어요.
I look across the river for my toy boat.,나는 강 건너편에서 내 장난감 보트를 찾고 있어요.
I look after my little brother.,나는 내 동생을 돌봐요.
Look at the colorful butterfly.,알록달록한 나비를 봐요.
Please do not look back on old mistakes.,옛날 실수를 후회하지 말아요.
I look back at fun days.,나는 즐거운 날들을 되돌아봐요.
I look for my toy every day.,나는 매일 내 장난감을 찾고 있어요.
I look forward to my birthday.,내 생일을 기대하고 있어요.
I will look into my lost toy.,나는 잃어버린 장난감을 들여다볼게요.
You look like my best friend.,네가 내 가장 좋은 친구처럼 보여요.
Look up at the blue sky.,파란 하늘을 올려다 봐요.
Please look up the word in your book.,책에서 그 단어를 찾아봐요.
She holds the balloon loosely.,그녀가 풍선을 느슨하게 들고 있어요.
I loosen the knot on my balloon string.,내 풍선 끈의 매듭을 풀어요.
I loosen my shoelace before I run.,나는 달리기 전에 신발끈을 느슨하게 해요.
Please loosen up and enjoy the game.,게임을 즐기려면 긴장을 풀어요.
There are lots of stars in the sky.,하늘에 별이 많아요.
The baby laughed loudly at the clown.,아기가 광대를 보고 큰 소리로 웃었어요.
I love my best friend.	I love my best friend.,나는 가장 친한 친구를 사랑해요.	나는 가장 친한 친구를 사랑해요.
The lovely puppy plays in the green yard.,사랑스러운 강아지가 초록 마당에서 놀고 있어요.
The garden is lovely.,정원이 아주 좋아요.
The low is 15 degrees today.,오늘의 최저 기온이 15도예요.
The frog sits on a low log.,개구리가 낮은 통나무 위에 앉아 있어요.
Please lower the window to let fresh air in.,신선한 공기가 들어오도록 창문을 낮춰 주세요.
The lower shelf holds my toys.,아래쪽 선반에 내 장난감들이 있어요.
The soldier shows loyalty by protecting his team.,군인이 팀을 지키며 충성을 보여요.
He has good luck when he plays games.,그는 게임할 때 운이 좋아요.
"I forgot my umbrella, luckily it was sunny.","우산을 잊어버렸어요, 다행히 날씨가 맑았어요."
I feel lucky because my friend helps me.,친구가 도와줘서 운이 좋아요.
A lunar rover is moving on the moon.,달의 탐사로봇이 달 위를 움직이고 있어요.
I eat lunch with my friends.,나는 친구들과 함께 점심식사를 먹어요.
We share snacks during lunch break.,우리는 점심시간에 간식을 나눠 먹어요.
"It is lunchtime, let's eat together.","점심시간이에요, 같이 먹어요."
My lung helps me breathe.,내 폐가 숨 쉬게 도와줘요.
My lung helps me breathe air.,내 폐가 공기를 들이마시는데 도움을 줘요.
The luxurious room has shiny toys.,사치스러운 방에 반짝이는 장난감이 있어요.
Tom is mad because he lost his toy.,톰이 장난감을 잃어버려서 화가 났어요.
The mad mouse runs fast in the yard.,미친 쥐가 마당에서 빨리 달려요.
I ate a madeleine at school with my friend.,학교에서 친구와 마들렌을 먹었어요.
The boy danced madly at the school party.,소년이 학교 파티에서 미친 듯이 춤췄어요.
The magician does a magic trick.,마술사가 마술 묘기를 해요.
A magical fairy dances in our garden.,마술적인 요정이 우리 정원에서 춤춰요.
The magician showed a magic trick.,마술사가 마법의 묘기를 보여줬어요.
The magnet sticks to my fridge.,자석이 제 냉장고에 붙어요.
I will mail a letter to my friend.,나는 내 친구에게 편지를 부쳐요.
I send mail to my friend.,나는 친구에게 우편을 보내요.
The mail carrier brings our letters.,우편배달부가 우리에게 편지를 가져다줘요.
I put a letter in the mailbox.,나는 편지를 우체통에 넣었어요.
We mainly play games at school.,우리는 주로 학교에서 게임을 해요.
I make my friend happy.,내 친구를 행복하게 만들어요.
I make a fun paper boat.,나는 재미있는 종이배를 만들어요.
I make money by selling lemonade.,나는 레모네이드를 팔아 돈을 벌어요.
Please make a copy of my drawing.,내 그림을 복사해요.
I will make a decision about my snack.,나는 내 간식에 대해 결정할 거예요.
We can make a friend at the playground.,놀이터에서 친구를 사귀어요.
My dad works hard to make a living.,우리 아빠가 열심히 일해서 생계를 이어가요.
Sometimes I make a mistake in class.,가끔 저는 수업 중에 실수해요.
I make a signal with my hand.,나는 손으로 신호해요.
A kind act can make a world of difference.,친절한 행동이 큰 차이를 만들어요.
We must make an arrangement to meet at school.,우리 학교에서 만나기로 약속을 정해요.
I make friends at my school.,나는 학교에서 친구를 사귀어요.
Don't make fun of your friend.,친구를 놀리지 마세요.
I will make it to the picnic.,나는 소풍에 참석할 거예요.
My friend and I make it to meet after school.,제 친구와 저는 방과 후 만나기로 해요.
I made it to class on time.	I made it to class on time.,나는 수업에 시간 맞춰 도착했어요.	나는 수업에 시간 맞춰 도착했어요.
You will make it if you try.,너는 시도하면 해낼 수 있어요.
The kids sometimes make noise in class.,아이들이 수업 시간에 소란스럽게 해요.
A friend can make one's day with a kind word.,친구가 친절한 말로 하루를 즐겁게 해요.
I will make up a fun game.,나는 재미있는 게임을 만들어요.
I make up a fun story.	I make up a fun story.,나는 재미있는 이야기를 지어내요.	나는 재미있는 이야기를 지어내요.
We visited the mall and saw many toys.,쇼핑몰에 가서 많은 장난감을 봤어요.
The man is reading a book.,남자가 책을 읽고 있어요.
A man is walking to school.,남자가 학교로 걸어가고 있어요.
The manager helps his team at work.,관리자가 직장에서 팀을 도와요.
Our manager works hard for our team.,우리 감독이 팀을 위해 열심히 일해요.
The teacher pointed out Manchuria on the map.,선생님이 지도에서 만주를 가리켰어요.
Always use good manners at school.,항상 학교에서 좋은 예절을 지켜요.
There are many apples in the basket.,바구니에 많은 사과들이 있어요.
I map the new park with my pencil.,나는 연필로 새 공원을 상세하게 그리고 있어요.
The detective maps clues to reveal the secret.,탐정이 단서를 연결해 비밀을 밝혀내요.
I use a map to see my way.,나는 내 길을 찾기 위해 지도를 사용해요.
My dad runs a marathon race.,우리 아빠는 마라톤 경주를 해요.
I use a marker to draw a happy face.,나는 마커를 사용해 행복한 얼굴을 그려요.
Marriage joins two people in a happy life.,결혼은 두 사람이 함께 행복하게 사는 거예요.
Tom and Jane will marry when they grow up.,Tom과 Jane은 자라면 결혼할 거예요.
Mars is a red planet.,화성은 빨간 행성이에요.
Please match up the blue and red blocks.,파란 블록과 빨간 블록을 맞추어요.
My red sneakers match with my blue jeans.,내 빨간 운동화는 내 파란 청바지와 잘 조화돼요.
I learn math every day.,나는 매일 수학을 배워요.
I enjoy learning mathematics in class.,나는 수업에서 수학을 배우고 있어요.
I sleep on a soft mattress.	It is very comfy.,나는 부드러운 매트리스에서 자고 있어요.	정말 편해요.
My birthday is in May.,제 생일은 5월이에요.
The Mayan people built big pyramids.,마야 사람들이 큰 피라미드를 지었어요.
My friends and I explore the maze.,친구들과 제가 미로를 탐험해요.
The maze makes me feel confused.,미로는 나를 혼란스럽게 해요.
I learn the meaning of words every day.,나는 매일 단어의 뜻을 배워요.
This drawing is very meaningful to me.,이 그림이 저에게 의미심장해요.
"Peter eats lunch,	meanwhile Lucy drinks juice.","피터는 점심을 먹고 있어요, 반면에 루시는 주스를 마시고 있어요."
"I paint a picture; meanwhile, my friend draws flowers.","나는 그림을 그려요. 한편, 내 친구가 꽃을 그려요."
"I finish my lunch.	Meanwhile, my brother runs.",나는 점심을 먹었어요.	그 동안에 내 동생이 달려요.
The boy eats	meat for lunch.,소년이 점심에 고기를 먹고 있어요.
I won a medal in my race.,나는 달리기 시합에서 메달을 받았어요.
I always meet my homework deadline.,나는 항상 숙제 기한을 지켜요.
I meet my friend at school.,나는 학교에서 친구를 만나요.
My lunch meets my hunger.,내 점심이 내 배고픔을 채워요.
The food meets my hunger.,음식이 내 배고픔을 충족시켜요.
I cheer at the meet with my friends.,나는 친구들과 함께 경기를 응원해요.
Lisa is a member of our art club.,리사는 우리 미술 클럽의 회원이에요.
I write a memo in my notebook.	I share it with my friend.,나는 공책에 메모를 적어요.	친구와 함께 공유해요.
I memorize my favorite poem quickly.,저는 좋아하는 시를 빨리 외워요.
I memorize my spelling words every day.,나는 매일 철자 단어들을 암기해요.
I have a happy memory of our picnic.,우리 소풍의 추억이 있어요.
My memory holds fun times with friends.,내 기억에 친구들과 재미있는 시간이 있어요.
I saved a photo	on my memory stick.,내가 메모리 스틱에 사진을 저장했어요.
The merchant sells things in a small shop.,상인이 작은 가게에서 물건을 팔고 있어요.
The messy room has toys on the floor.,어질러진 방에 장난감이 바닥에 있어요.
My teacher showed us a Mexican flag in class.,우리 선생님이 수업 시간에 멕시코의 깃발을 보여주셨어요.
The apple is in the middle of the table.,사과가 탁자 한가운데에 있어요.
My friend studies in middle school.,내 친구가 중학교에서 공부하고 있어요.
It might rain tomorrow.,내일 비가 올지도 모른어요.
The strong knight uses his might to protect his friends.	,강한 기사님이 친구들을 지키기 위해 힘을 사용해요.	
Birds migrate south when it gets cold.,새들이 날씨가 추울 때 남쪽으로 이동해요.
The farmer milks the cow every day.,농부가 매일 소의 젖을 짜요.
The sneaky man milked money from his friend.,교활한 남자가 친구에게서 돈을 뽑아냈어요.
I drink milk every morning.,나는 매일 아침 우유를 마셔요.
There are a million stars in the night sky.,밤하늘에 백만 개의 별이 있어요.
There are millions of stars in the sky.,하늘에는 수백만의 별이 있어요.
Mind the hot stove.,뜨거운 스토브를 조심해요.
I don't mind sharing my candy.,나는 사탕을 나누는 것을 꺼리지 않아요.
I don't mind helping my friend.,나는 친구를 도와주는 것을 꺼리지 않아요.
Miners mine gold near our town.,광부들이 우리 동네 근처에서 금을 캐요.
This toy is mine.,이 장난감은 나의 것이에요.
A miracle makes our dreams come true.,기적이 우리의 꿈을 이루게 해요.
Please do not mislead your friend.,친구를 잘못 인도하지 마세요요.
I will not mislead my friend.,나는 내 친구를 속이지 않아요.
The puppy is missing from its house.	,강아지가 집에서 실종되었어요.	
I miss my mom when I go to school.,학교에 갈 때 엄마가 그리워요.
I missed my class today.,오늘 수업을 빼먹었어요.
I miss my friend on a rainy day.,비 오는 날에 친구가 그리워요.
Don't miss a chance to enjoy our game.,우리 게임을 즐길 기회를 놓치지 마세요.
I do not want to miss out on fun.,나는 재미있는 시간을 빠뜨리고 싶지 않아요.
Do not miss out on our picnic.,우리 소풍을 놓치지 말아요.
I found the missing toy.,분실된 장난감을 찾았어요.
The missing ball is under the tree.,놓친 공이 나무 아래에 있어요.
Don't mistake my smile for anger.,내 미소를 화난 것으로 오해하지 마세요.
I made a mistake on my homework.	,숙제에서 실수를 했어요.
I made a mistake in my drawing.,내 그림에서 잘못했어요.
I sometimes misunderstand what you say.,나는 네가 말하는 것을 오해할 때가 있어요.
My friend and I had a misunderstanding.,친구와 나는 오해가 있었어요.
I mix milk with chocolate in a bowl.,나는 그릇에 우유와 초콜릿을 섞어요.
We stir the mixture in a bowl.,우리는 혼합물을 그릇에 저어요.
The girl will model a pretty dress.,소녀가 예쁜 드레스를 입어 보고 있어요.
The model walked on the runway.,모델이 런웨이를 걸었어요.
I made a model of my school.,나는 내 학교의 모형을 만들었어요.
The modeler builds a tiny airplane model.,모형 제작자가 작은 비행기 모형을 만들어요.
I use money to buy toys.,나는 돈으로 장난감을 사요.
The monkey swings on the branch.,원숭이가 나뭇가지에서 그네타며 놀고 있어요.
The monster hides under the bed.,괴물이 침대 밑에 숨고 있어요.
There are 12 months in a year.,1년에는 12달이 있어요.
The moon glows in the dark sky.,달이 어두운 하늘에서 빛나고 있어요.
The moon is a natural satellite.,달은 자연의 위성이에요.
I mop the floor with a mop.,나는 대걸레로 바닥을 닦아요.
I use a mop to clean up the floor.,나는 자루걸레로 바닥을 닦아요.
I want more cookies.,나는 더 많은 쿠키를 원해요.
She learns English more and more every day.,그녀는 매일 점점 더 영어를 배우고 있어요.
I have more than three apples.,나는 사과를 세 개 이상 가지고 있어요.
I wake up every morning.,나는 매일 아침에 일어나요.
The Moroccan is playing with his friend.	,모로코 사람이 친구와 놀고 있어요.
A tiny mosquito is buzzing near me.	,작은 모기가 내 주변에서 윙윙거려요.
Most candies are sweet.,가장 많은 사탕들이 달콤해요.
Most kids love to play outside.	,대부분의 아이들은 밖에서 노는 것을 좋아해요.
I mostly play with my friends.,나는 주로 친구들과 놀아요.
A moth is flying by the light.,나방이 불빛 옆에서 날고 있어요.
My mother cooks dinner for our family.,어머니가 우리 가족을 위해 저녁을 요리해요.
The coach motivates the team to run.,코치가 팀에게 달리도록 동기를 부여해요.
My motive is to help my friends.	,내가 친구들을 돕는 것이 내 동기예요.	
My motto is to be kind every day.,제 좌우명은 매일 친절하게 행동하는 거예요.
We mount the hill on a sunny day.,우리는 화창한 날 언덕에 올라요.
My excitement mounts when I see my friends.,친구들을 만나면 내 기분이 높아져요.
I mount my bike every morning.	,나는 매일 아침 자전거에 올라타요.
My excitement mount when I see the rainbow.,내 기쁨이 무지개를 볼 때 서서히 증가해요.
I climb the mountain.,나는 산을 올라요.
We saw a mountain range near our school.	산맥을 우리 학교 근처에서 봤어요.,산맥을 우리 학교 근처에서 봤어요.
The small mouse eats cheese.,작은 생쥐가 치즈를 먹어요.
I use my mouth to eat food.,나는 입으로 음식을 먹어요.
I move my toy car on the floor.,나는 바닥 위에서 내 장난감 자동차를 움직여요.
This song can move my heart.,이 노래가 내 마음을 감동시켜요.
I move that we sing a song.,제가 노래 부르자고 제안해요.
Please move the ball to the box.,공을 상자로 옮겨 주세요요.
We move to a new house.,우리는 새 집으로 이사해요.
Let's move	to begin our fun project.,이제 재미있는 프로젝트를 시작해요.
Our move takes us to a fun place.,우리의 이동은 즐거운 곳으로 데려가요.
A move is a way to fix problems.,이 조치는 문제를 고치는 방법이에요.
Butterflies move around the garden to see flowers.,나비가 꽃 정원에서 돌아다니며 꽃을 보고 있어요.
Please move away your toys.,장난감을 치우세요.
Let's move away from the dark room.,어두운 방에서 떠나요.
My family will move into our new home.,우리 가족이 새 집으로 이동해요.
I was moved by your kind drawing.	,네 친절한 그림에 감동받았어요.
I saw the movement of the leaves in wind.,나는 바람 속에서 나뭇잎의 움직임을 봤어요.
I do movement at the park.,저는 공원에서 운동을 해요.
The school started a clean-up movement.,학교에서 청소 운동을 시작했어요.
I like the slow movement of the song.,노래의 느린 악장이 좋아요.
I like to watch a movie with my friends.,친구들과 함께 영화를 봐요.
There is much milk in the fridge.,냉장고에 많은 우유가 있어요.
My sister is much taller than me.,우리 언니는 나보다 훨씬 커요.
I jumped in a muddy puddle today.,나는 오늘 진흙탕에서 뛰었어요.
The crab is on a wet mudflat.,게가 젖은 갯벌 위에 있어요.
Four is a multiple of two.,네는 두의 배수에요.
We have multiple toys in our bag.,우리 가방에 다양한 장난감이 있어요.
I have multiple crayons in my box.,내 상자에 다양한 크레용이 있어요.
I multiply two numbers.,나는 두 수를 곱해요.
We multiply numbers so they increase.,우리는 숫자들을 곱하면 증가해요.
I love music at home.,나는 집에서 음악을 좋아해요.
We watched a musical on stage.,우리는 무대에서 뮤지컬을 봤어요.
The musical song makes everyone smile.,음악의 노래가 모두를 웃게 해요.
I play a musical instrument in my music class.,나는 음악 수업에서 악기를 연주해요.
The cake must be sweet.,케이크가 달콤할 거예요.
You must wash your hands before eating.,먹기 전에 손을 씻어야 해요.
Ice cream is a must for our fun picnic.,우리의 즐거운 소풍에 아이스크림은 반드시 있어요.
A myth is a story about gods and heroes.,신화는 신들과 영웅들에 관한 이야기예요.
We name our puppy Sunny.,우리 강아지의 이름을 써니라고 지어요.
We name our puppy Max.,우리는 강아지에게 맥스라고 이름을 대요.
He earned a good name by sharing his lunch.,그는 점심을 나누며 좋은 평판을 얻었어요.
My name is Sam.,내 이름은 샘이에요.
I name my teddy bear after my mom.,나는 내 곰인형의 이름을 엄마를 따서 지었어요.
I take a nap after lunch.,나는 점심 후에 낮잠을 자요.
The narrator tells a fun story.,서술자가 재미있는 이야기를 들려줘요.
We celebrate a national game with happy cheers.,우리는 전국적인 경기를 기쁜 응원과 함께 축하해요.
Our national flag waves in the sky.,우리의 국기가 하늘에서 펄럭이고 있어요.
The native boy sings a happy song.,원주민 소년이 즐거운 노래를 부르고 있어요.
The native family sings a song.,원주민 가족이 노래를 불러요.
We play in the natural park.,우리는 자연의 공원에서 놀아요.
It is natural to help others.,남을 돕는 것은 당연해요.
The bird sings in a natural way.	,새가 자연스럽게 노래해요.
She is a natural artist.,그녀는 천부적인 예술가예요.
The flower garden is natural and lovely.,꽃 정원이 꾸밈 없이 자연스러워요.
We must save natural resources every day.,매일 천연 자원을 아껴 써요.
"Apples have many natures: red, green, and yellow.",사과는 다양한 종류를 가지고 있어요.
I love nature	when I walk in the park.,저는 공원에서 걸을 때 자연을 좋아해요.
My nature is kind.,저의 본성은 친절해요.
We navigate the school with a map.,우리는 지도를 사용해 학교까지 길을 찾아가요.
The pilot navigates the airplane in the clear sky.	,조종사가 맑은 하늘에서 비행기를 조종하고 있어요.
I navigate the internet to find fun games.,저는 재미있는 게임을 찾기 위해 인터넷을 돌아다녀요.
My house is near the park.,우리 집이 공원 가까이에 있어요.
The park is near my house.,공원이 우리 집 근처에 있어요.
The park is nearby my house.,공원이 우리 집 근처에 있어요.
I nearly dropped my ball.,나는 공을 거의 떨어뜨렸어요.
A pencil is a necessity in my school bag.,연필은 학교 가방에 필수예요.
I wear a scarf around my neck.,나는 목에 스카프를 두르고 있어요.
I need to do my homework.	I need to do my homework.,나는 숙제를 해야 해요.	나는 숙제를 해야 해요.
My need is a warm hug.,내 욕구는 따뜻한 포옹이에요.
There is a need for clean water.,깨끗한 물에 대한 수요가 있어요.
I feel negative when things go wrong.	,나는 일이 잘 안될 때 부정적인 기분을 느껴요.
I live in a friendly neighborhood.,저는 친절한 동네에 살고 있어요.
I never skip my lunch.,나는 점심을 결코 거르지 않아요.
"It rained, nevertheless we played outside.","비가 왔어요, 그럼에도 불구하고 우리는 밖에서 놀았어요."
I have a new toy.,나는 새로운 장난감을 가지고 있어요.
My friend is a New Zealander.	,내 친구는 뉴질랜드 사람이에요.
I read the newspaper every morning.,나는 매일 아침 신문을 읽어요.
I want the next cookie.,나는 다음 쿠키를 원해요.
Sam sits next to his friend.,샘이 친구 바로 옆에 앉아 있어요.
My toy is next to my chair.,내 장난감이 내 의자 옆에 있어요.
I feel nice when I share my toys.,장난감을 나눌 때 기분이 좋아요.
My nice friend gives me a hug.,내 친절한 친구가 나를 안아주고 있어요.
The nice boy smiles at his friend.,멋진 소년이 친구에게 웃어요.
My friend has a funny nickname.,내 친구는 재미있는 별명이 있어요.
The night is quiet and full of stars.,밤이 조용하고 별들로 가득해요.
We see a bright night view from the hill.,우리는 언덕에서 밝은 야경을 보고 있어요.
"No, I do not need help.","아니요, 도움이 필요 없어요."
I no longer play outside when it rains.,비 오는 날에는 더 이상 밖에서 놀지 않아요.
The noble lives in a big castle.,귀족은 큰 성에서 살고 있어요.
The noble knight is kind.,고귀한 기사님이 착해요.
The nobleman lives in a big castle.,귀족이 큰 성에 살아요.
Nobody is eating ice cream.,아무도 아이스크림을 먹지 않아요.
I nod to my friend.,나는 친구에게 끄덕여요.
The noisy dog runs around the park.,시끄러운 강아지가 공원에서 뛰고 있어요.
That is just nonsense.,그것은 그냥 허튼소리예요.
I eat noodle at lunch.,나는 점심에 국수를 먹어요.
I have a normal pencil that writes well.,저는 글씨가 잘 쓰이는 정상의 연필을 가지고 있어요.
I feel normal today.,오늘 나는 보통이에요.
I normally eat breakfast.,나는 정상적으로 아침을 먹어요.
"Normally, I eat lunch at school.",보통은 저는 학교에서 점심을 먹어요.
The bird flew to the north.,새가 북쪽으로 날아갔어요.
The northern wind brings cool air.,북쪽의 바람이 시원한 공기를 가져와요.
I wiggle my nose when I feel happy.,나는 행복할 때 코를 움직여요.
The airplane nose is at the front of the plane.,비행기의 앞부분은 비행기 제일 앞에 있어요.
I do not eat broccoli.,나는 브로콜리를 먹지 않아요.
