fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
My grandma is ___.,할머니는 [[늙은]] 사람이에요.,old,It describes someone or something that has lived for many years.,많은 세월을 산 사람이나 물건을 나타내요.
This book is ___.,이 책은 [[오래]]되었어요.,old,It describes something not new.,"새것이 아닌, 예전에 만들어진 것을 말해요."
The car is ___.,자동차는 [[오래된]] 거예요.,old,It means not new but from many years ago.,새것이 아니고 오래되었음을 말해요.
The light is ___.,불은 [[켜진]]이에요.,on,It indicates a device is active.,기계가 작동 중일 때 쓰는 말이에요.
The cat is ___ the table.,고양이가 탁자 [[의 위에]] 있어요.,on,You use this word to show a thing is above another.,어떤 것이 다른 것의 위에 있을 때 쓰는 말이에요.
We meet ___ Friday.,우리는 금요일 [[에]] 만나요.,on,It is a preposition used for days.,요일을 나타내는 전치사예요.
People live ___ seventy years.,사람들은 [[평균적으로]] 70년 살아요.,on average,It means typically.,보통 그런 것을 뜻해요.
Items are ___ in the shop.,물건들이 [[진열하여]] 있어요.,on display,It is used when things are shown for everyone.,사람들이 모두 볼 수 있도록 보여질 때 써요.
They come ___ everyday.,그들은 매일 [[걸어서]] 와요.,on foot,It means going by walking.,걷는 방법으로 이동하는 것을 말해요.
She finished the homework ___.,그녀는 숙제를 [[혼자 힘으로]] 했어요.,on one's own,It means doing something without any help.,남의 도움 없이 혼자 해요.
I met a friend ___ home.,나는 집에 가는 [[도중에]] 친구를 만났어요.,on one's way,It means you are going somewhere.,어딘가로 가는 중이에요.
He's ___ home now.,그는 지금 집에 [[가는 길에]] 있어요.,on one's way,It means you are traveling to a place.,어디로 가는 중임을 뜻해요.
I met Maria ___ work.,나는 마리아를 [[~으로 가는 도중에]] 일하러 만났어요.,on one's way to,It describes being in transit towards a destination.,어디로 향할 때 쓰는 말이에요.
She did it ___.,그녀는 [[일부러]] 했어요.,on purpose,It means you do it by choice.,네가 선택해서 한 행동이에요.
The store has ___ items today.,가게에 오늘 [[할인(판매) 중인]] 물건이 있어요.,on sale,"When a shop offers things for a lower price, people can save money.",가게에서 물건을 평소보다 낮은 가격에 파는 것을 의미해요.
The thief is ___ in town.,그 도둑이 [[탈주 중인]] 상태에 있어요.,on the loose,It is used when a criminal is free and cannot be caught.,범죄자가 잡히지 않고 자유로울 때 쓰는 표현이에요.
I made a choice ___.,나는 선택을 [[즉석에서]] 했어요.,on the spot,It means doing something immediately without any delay.,즉시 아무 지체 없이 행동하는 것을 뜻해요.
I listened to music ___.,나는 음악을 들었어요 [[집에 가는 길에]].,on the way home,It shows when you are returning home.,집으로 돌아갈 때를 말해요.
He always arrives ___.,그는 항상 [[정시]]에 도착해요.,on time,Rearrange these letters!: I N M O E T,다음 글자들을 재배열 해보세요!: I N M O E T
I met him ___ at the party.,나는 파티에서 그를 [[한때]] 만났어요.,once,It shows something happened one time in the past.,한 번만 일어난 일을 표현해요.
I visited Paris ______.,나는 파리를 [[한 때]] 방문했어요.,once,"If you do something only one time, you use this word.",한 번만 한 일을 말할 때 쓰는 단어예요.
I met him ____.,나는 그를 [[한 번]] 만났어요.,once,It describes a single occurrence.,한 번만 일어난 일을 말해요.
Call me ___ you arrive.,네가 도착[[하자마자]] 전화해.,once,It means right after one event happens.,하나의 일이 끝난 바로 후를 뜻해요.
"___ you arrive, relax.","[[일단]] 도착하면, 편히 쉬어요.",once,This word means 'as soon as' something occurs.,뭔가가 일어났을 때 바로 쓰는 단어예요.
I visit my grandma ___.,나는 할머니를 [[때때로]] 방문해요.,once in a while,"It means sometimes, not always.",항상이 아니라 가끔씩이라는 뜻이에요.
"___, a princess saved her kingdom.","[[옛날에]], 한 공주가 왕국을 구했어요.",once upon a time,This phrase begins many fairy tales.,이 표현은 옛날 이야기를 시작할 때 쓰여요.
This is ___ book.,이것은 [[하나]] 책이에요.,one,It is used to show a single item.,하나의 물건을 가리킬 때 써요.
I need __ pencil.,나는 [[하나]]의 연필이 필요해요.,one,"When you count items, use this for a single item.",물건이 하나 있을 때 쓰는 단어예요.
They help ___ in class.,그들은 [[서로]] 도와요.,one another,It means doing an action to each other.,서로에게 행동을 하는 것을 의미해요.
She placed flowers ___.,그녀는 꽃을 [[하나하나씩]] 꽂았어요.,one by one,It means doing each thing separately.,각각 따로따로 한다는 뜻이에요.
The meeting is ______.,회의는 [[계속 진행 중인]].,ongoing,It describes something that keeps happening.,아직 끝나지 않고 계속되는 것을 말해요.
I have ___ one apple.,나는 [[유일한]] 사과를 가지고 있어요.,only,It means 'just one'.,'한 개뿐'이란 뜻이에요.
I ___ the door.,나는 문을 [[열다]].,open,You do this to let fresh air in.,신선한 공기가 들어오도록 하는 행동이에요.
The door is ___.,문이 [[열린]] 상태예요.,open,It means the door is not closed.,문이 닫히지 않은 상태를 말해요.
The ___ controls the machine.,그 [[기사]]가 기계를 조작해요.,operator,This word means a person who works with machines.,이 단어는 기계를 다루는 사람을 뜻해요.
The ___ answered the calls.,그 [[전화 교환원]]가 전화를 연결했어요.,operator,They connect people by phone.,이 사람은 전화를 연결해요.
He waited for an ___.,그는 [[기회]]를 기다렸어요.,opportunity,It is when you can try something new.,새로운 것을 시도할 수 있는 때예요.
Would you prefer tea ___ juice?,차 [[또는]] 주스 중에 선택해요.,or,It connects two choices.,이것은 두 선택을 연결해요.
I listened to the ____.,나는 [[오케스트라]]를 들었어요.,orchestra,It is a large group of musicians playing instruments together.,여러 악기 연주자들이 함께 연주하는 단체예요.
My boss ___ me around.,사장님이 나를 [[자꾸 이래라 저래라]]해요.,order ~ around,"This means to make someone do things your way, in a bossy manner.",누군가에게 자꾸 네 방식대로 하라고 시키는 뜻이에요.
Every group has a basic ______.,모든 그룹은 기본 [[조직]]을 가지고 있어요.,organization,It means how members are arranged to work together.,구성원들이 함께 일하는 방식이라는 뜻이에요.
Good ______ is important at school.,학교에서는 [[체계성]]이 중요해요.,organization,"When things are sorted and neat, what is it?","모든 것이 정돈되어 있을 때, 이것을 무엇이라고 할까요?"
The ___ arranges the party.,그는 파티를 [[정리]]해요.,organizer,This person plans events and meetings well.,이 사람은 행사와 모임을 잘 계획해요.
The ______ runs a party.,파티를 주최하는 [[주최자]]가 있어요.,organizer,This person arranges events.,이 사람은 행사를 준비해요.
Our ___ is a mystery.,우리 [[기원]]은 알 수 없어요.,origin,It means where something begins.,어떤 일이 시작되는 곳을 말해요.
Find the ___ of this flower.,이 꽃의 [[원산지]]를 찾으세요.,origin,It tells where something started.,어디서 시작되었는지 알려줘요.
She bought an ___ painting.,그녀는 [[최초의]] 그림을 샀어요.,original,It means not copied; the first version.,"복사하지 않은, 처음 만들어진 것을 말해요."
This design is very ______.,이 디자인은 아주 [[원래의]]예요.,original,It means first and not copied.,처음 만들어져서 복사되지 않았다는 뜻이에요.
My idea is ___ and nice.,내 생각은 [[독창]]해요.,original,It means an idea that is new and not copied.,새롭고 모방되지 않은 아이디어를 뜻해요.
I _____ planned a small party.,나는 [[원래]] 작은 파티를 계획했어요.,originally,It shows when something happened first.,무언가가 처음 일어났을 때를 말해요.
Tea ___ China.,차는 중국에서 [[유래]]되었어요.,originate from,It shows where something begins.,어디서 시작되었는지 알려줘요.
We did it ______.,우리는 그것을 [[우리 스스로]] 했어요.,ourselves,It shows doing something on your own.,남의 도움 없이 스스로 하는 것을 뜻해요.
The crowd got ___.,군중은 [[손을 쓸 수 없는]] 상태예요.,out of hand,It is used when things are not managed well.,어떤 것이 잘 관리되지 않을 때 사용하는 표현이에요.
The toy is ___.,장난감은 [[닿지 않은 곳]]에 있어요.,out of one's reach,It means you cannot get something because it is too far.,"너는 그것을 얻을 수 없어요, 너무 멀리 있어서."
The piano is ___.,피아노 소리가 [[가락이 안 맞아]].,out of tune,It describes an instrument that sounds not right.,악기가 제대로 소리 내지 않을 때를 말해요.
We enjoy ___ picnics.,우리는 [[야외]] 피크닉을 즐겨요.,outdoor,It means being outside.,밖에서 하는 것을 말해요.
They walked ___ for fresh air.,그들은 신선한 공기를 위해 [[야외에서]] 걸었어요.,outdoors,It describes a place that is not inside.,안에 있지 않은 장소를 나타내요.
The spaceship travels into _______.,"우주선은 [[외계,우주공간]]로 여행해요.",outer space,It is where planets and stars are.,행성들과 별들이 있는 곳이에요.
My ____ friend loves meeting people.,내 [[외향적인]] 친구는 사람들을 만나는 걸 좋아해요.,outgoing,It describes someone who loves to be with others.,사람들과 함께 있는 것을 좋아하는 사람을 나타내요.
The ___ flight departs in five minutes.,비행기는 5분 후에 공항에서 [[떠나는]] 거예요.,outgoing,Rearrange these letters!: G O U T I N G O,다음 글자들을 재배열 해보세요!: G O U T I N G O
Please ___ the chapter summary.,챕터 요약을 [[개요]]해요.,outline,It means to show the main points.,주요 내용들을 보여주는 거에요.
She drew the _____ for the plan.,그녀는 계획을 위한 [[개요]]를 그렸어요.,outline,It is a drawing that shows the main parts.,주요 부분을 보여주는 그림이에요.
Draw the ___ of the building.,건물의 [[윤곽]]을 그렸어요.,outline,It is the border of something.,무언가의 가장자리를 나타내요.
We sat ___ at the park.,우리는 공원에서 [[바깥쪽]]에 앉았어요.,outside,It means not inside a room.,"방 안이 아닌, 바깥을 뜻해요."
She plays ___.,그녀는 [[밖에]] 놀아요.,outside,You go there when you leave your home.,집을 떠날 때 가는 곳이에요.
The game is ___.,게임이 [[끝난]]이에요.,over,It means something is finished.,무언가가 끝났다는 뜻이에요.
The cat jumped ___ the fence.,고양이가 울타리 [[위에]] 뛰었어요.,over,It shows that one thing is on top of another.,한 물건이 다른 물건의 위쪽에 있음을 말해요.
The bird flew ___ the fence.,새가 울타리 [[넘어서]] 날았어요.,over,It tells you position when one thing is above another.,한 물건이 다른 물건 위에 있을 때 쓰는 말이에요.
She slept ___ eight hours.,그녀는 여덟 시간 [[동안]] 잤어요.,over,"When something lasts for a period, use this word.",시간의 흐름을 나타낼 때 쓰는 단어예요.
He listens ___ to his favorite song.,그는 가장 좋아하는 노래를 [[여러 번 되풀이하여]] 들어요.,over and over,It means doing something many times.,어떤 일을 여러 번 반복하는 것을 말해요.
The cat is ______.,고양이는 [[저기에]] 있어요.,over there,It means a place that is far from here.,여기에서 멀리 있는 곳을 뜻해요.
The cat jumped ___.,고양이가 [[담(장)을 넘는]] 뛰었어요.,over-the-fence,It means going past a fence.,담을 넘는다는 뜻이에요.
We ___ obstacles.,우리는 장애물을 [[극복]]해요.,overcome,It means to beat hard challenges.,어려운 도전을 이긴다는 뜻이에요.
The engine is ______.,엔진은 [[지나치게 뜨거운]] 상태예요.,overheated,This word means something became too hot from extra heat.,이 단어는 과도한 열로 인해 너무 뜨거워진 상태를 말해요.
They rode an ______ train.,그들은 [[야간의]] 기차를 탔어요.,overnight,It describes something occurring during the night.,밤에 일어나는 일을 말해요.
We traveled ___ to visit friends.,우리는 친구들을 만나기 위해 [[하룻밤 사이에]] 여행했어요.,overnight,It means something done during one night.,한 밤에 이루어지는 일을 말해요.
They arrived ___ at dawn.,그들은 새벽에 [[밤새도록]] 도착했어요.,overnight,"It means done through the night, without stopping.",한밤중에 계속되는 것을 말해요.
I saw an ___ in the forest.,나는 숲에서 [[올빼미]]를 봤어요.,owl,This bird is active at night.,이 새는 밤에 활동해요.
I ___ a red car.,나는 빨간 차를 [[소유]]해요.,own,"It means something is yours, not someone else's.",어떤 것이 다른 사람의 것이 아니라 너의 것임을 나타내요.
The ___ lives in our house.,그 [[주인]]은 우리 집에 살아요.,owner,Think of someone who has a house and a pet.,집과 애완동물을 가진 사람을 생각해 보세요.
We breathe ______ every day.,우리는 매일 [[산소]]를 들이마셔요.,oxygen,It is needed to breathe.,숨쉬기에 필요한 거예요.
I attend ___ class.,나는 [[체육]] 수업을 들어요.,P.E.,You practice sports and exercise.,스포츠와 운동을 해요.
The party starts at ___.,파티는 [[오후]]에 시작해요.,p.m.,It is used to show time after noon.,정오 이후의 시간을 나타내요.
The runner followed the ___ during the race.,러너는 경주 중에 [[페이서]]를 따라갔어요.,pacer,They run with you to help keep a steady speed.,함께 속도를 유지하도록 달리면서 옆에 있어요.
They ___ the gift for delivery.,그들은 선물을 [[포장]]했어요.,package,It's what you use to wrap a gift for shipping.,선물을 보내기 위해 덮는 것이에요.
She sent a ___ today.,그녀는 오늘 [[꾸러미]]를 보냈어요.,package,It has 7 letters!,7글자예요!
I received a ___ today.,오늘 [[포장물]]이 도착했어요.,package,It is something you get when buying online.,온라인 쇼핑할 때 받는 물건이에요.
The postman brought a ___.,우편배달부가 [[소포]]를 가져왔어요.,package,It is something sent through mail.,우편으로 보내는 물건이에요.
The ___ is used for shipping.,상품을 보내는데 [[포장]]이 필요해요.,packaging,It is what covers a product for safe delivery.,제품을 안전하게 보내기 위해 덮는 것입니다.
The cat's ___ is soft.,고양이의 [[발바닥]]이 부드러워요.,pad,It is the soft part on an animal's foot.,동물의 발에서 부드러운 부분이에요.
She used a ___ for her knee.,그녀는 무릎에 [[패드]]를 사용했어요.,pad,It is a small cushion used for protection.,보호를 위해 작은 완충재예요.
The cut was very ___.,상처가 매우 [[아픈]].,painful,How would you feel if you cut your finger?,손가락을 베면 어떤 기분일까요?
I ___ a picture.,나는 그림을 [[그리]]었어요.,paint,You use it to add color.,색을 더하기 위해 이걸 써요.
They ___ the wall.,그들은 벽을 [[색칠]]했어요.,paint,You use this to add color to walls.,벽에 다른 색을 입히기 위해 사용해요.
The artist uses ___ for drawing.,화가는 그림을 그릴 때 [[그림물감]]을 사용해요.,paint,You use it to add color on a canvas.,캔버스에 색을 더할 때 쓰는 거예요.
The ___ painted the picture.,그림을 그린 [[화가]]예요.,painter,Who creates art using a brush?,붓을 사용해 그림을 그리는 사람은 누구일까요?
She likes ___ at the museum.,그녀는 박물관에서 [[그림]]을 좋아해요.,painting,Rearrange these letters!: I N T P I A N G,다음 글자들을 재배열 해보세요!: I N T P I A N G
Look at that ___ on display.,저기 전시된 [[그림]]을 보세요.,painting,It is an artwork you see on a wall.,벽에 걸어있는 예술작품이에요.
He held his ___ gently.,그는 그의 [[손바닥]]을 부드럽게 잡았어요.,palm,"It is the wide, soft area on your hand.",손의 넓고 부드러운 부분이에요.
I saw a ___ by the beach.,나는 해변에서 [[야자 나무]]를 봤어요.,palm,This tree grows in warm countries.,이 나무는 따뜻한 나라에서 자라요.
I ate ___ for breakfast.,나는 아침 식사로 [[팬케익]]을 먹었어요.,pancake,"It is a round, flat food often for breakfast.",아침에 자주 먹고 둥글며 납작한 음식이에요.
I see a clear ___ in the window.,창문에 깨끗한 [[판유리]]가 있어요.,pane,It is the flat glass in a window.,창문에 있는 평평한 유리예요.
He wears ___ today.,그는 오늘 [[바지]]를 입었어요.,pants,You wear these to cover your legs.,다리를 덮는 옷이에요!
I submitted my ____ today.,나는 오늘 [[숙제]] 제출했어요.,paper,It is a thin thing you write on for homework.,숙제를 쓸 때 쓰는 얇은 물건이에요.
I draw on ___ every day.,나는 매일 [[종이]]에 그림을 그려요.,paper,It is used for writing letters or drawing.,편지나 그림을 위해 사용해요.
He paid with ____.,그는 [[지폐]]로 계산했어요.,paper,You use this to pay with cash.,현금으로 결제할 때 쓰는 거예요.
Submit the ___ on time.,제출할 [[과제물]]을 제때 내요.,paper,It is used for writing assignments.,숙제를 쓸 때 사용하는 거예요.
I received a ___ today.,나는 오늘 친구에게 [[소포]]를 받았어요.,parcel,It is a small package delivered by mail.,우편으로 배달되는 작은 상자예요.
My ___ cares for me.,"내 [[부모님,어버이]]이 나를 돌봐요.",parent,This person cares for you.,이 사람은 당신을 돌봐요.
My ___ cares for me.,내 [[부모]]가 나를 사랑해요.,parent,They take care of you.,당신을 보살펴 주는 사람이에요.
I like the ___.,나는 [[공원]]을 좋아해요.,park,A place with trees and grass to relax.,나무와 잔디가 있는 쉬는 곳이에요.
I ___ my car.,나는 자동차를 [[주차]]해요.,park,You leave your car in a safe spot.,차를 안전한 곳에 세워요.
I met the ___ at the park.,나는 공원에서 [[공원 관리인]]을 만났어요.,park manager,This person cares for a park.,이 사람은 공원을 돌봐요.
I parked my car at the ______.,나는 내 차를 [[주차장]]에 주차했어요.,parking lot,It is the place where cars stop.,자동차가 멈추는 곳이에요.
The pet ___ can talk.,애완 [[앵무새]]가 말할 수 있어요.,parrot,This bird copies your words.,이 새는 당신의 말을 따라해요.
They ___ from each other.,그들은 서로 [[헤어지]]었어요.,part,"When people go separate ways, they do this.",사람들이 따로 갈 때 하는 행동이에요.
He plays ___ in the team.,그는 팀에서 [[역할]]을 해요.,part,It means a piece of a whole.,전체의 한 조각이라는 뜻이에요.
The toy is missing a ___.,장난감에 [부분]이 없어요.,part,It means a piece of a whole.,전체의 한 부분을 의미해요.
A ___ attends the meeting.,회의에 [[참가자]]가 참석해요.,participant,This is a person who joins an event.,이 단어는 어떤 행사에 참여하는 사람을 의미해요.
Students ___ in the game.,학생들은 게임에 [[참여]]해요.,participate,You join a group activity.,여러 사람과 함께 하는 활동이에요.
We will ___ the event.,우리는 행사에 [[참여]]할 거예요.,participate in,It means you join a group activity.,그룹 활동에 함께한다는 뜻이에요.
We attended a ___ yesterday.,우리는 어제 [[파티]]에 참석했어요.,party,An event where people gather for fun.,사람들이 즐기기 위해 모이는 행사예요.
They attended the ___ last night.,그들은 어젯밤 [[무리]]에 갔어요.,party,It is a celebration with many people.,여러 사람이 모여 즐기는 행사예요.
She goes to a ___ often.,그녀는 자주 [[파티]]에 가요.,party,It is a fun social event.,친구들과 즐겁게 모이는 행사예요.
I went with my ___.,나는 내 [[일행]]과 갔어요.,party,It means a group of friends or companions.,함께 다니는 친구들의 모임을 뜻해요.
The minutes ___ very fast.,시간이 [[흐르]]어요.,pass,It describes how time goes by on its own.,시간이 저절로 흐르는 것을 말해요.
Please ___ the ball to me.,공을 나에게 [[통과]]해 주세요.,pass,It means to move something from one person to another.,물건을 한 사람에서 다른 사람에게 옮기는 것을 말해요.
Can you ____ me the salt?,소금을 [[건네]]줄래요?,pass,You use this word when you hand something over.,이 단어는 물건을 다른 사람에게 줄 때 사용해요.
Please ___ the salt.,제발 소금을 [[건네주다]] 주세요.,pass,You give an item by moving it from one person to another.,어떤 물건을 한 사람에서 다른 사람에게 줄 때 하는 행동이에요.
He shows his ___ at the gate.,그는 문 앞에서 [[통행증]]을 보여요.,pass,It is a paper that lets you go inside.,어떤 곳에 들어갈 수 있게 해주는 종이에요.
My grandma will ___ soon.,우리 할머니께서 [[돌아가]]셨어요.,pass away,"When someone dies, they are not with us.","누군가 죽으면, 함께 있지 않아요."
Please ___ the message.,메시지를 [[전달]]해 주세요.,pass on,You tell someone a message from another person.,다른 사람의 말을 전할 때 쓰는 표현이에요.
Cars ___ the tunnel.,자동차들이 [[통과]] 터널을 지났어요.,pass through,It means to cross from one side to the other.,한쪽에서 다른 쪽으로 넘어가는 것을 말해요.
They ___ the forest safely.,그들은 숲을 [[통과하다]] 안전하게 갔어요.,pass through,It means to go from one side to the other.,한쪽에서 다른 쪽으로 이동하는 것을 말해요.
They ___ difficult times recently.,그들은 최근에 어려운 시기를 [[경험]]했어요.,pass through,Sometimes you experience challenges in life.,인생에서 어려움을 겪을 때 쓰는 말이에요.
The ___ got on the bus.,그 [[승객]]이 버스를 탔어요.,passenger,It is someone who rides in a bus or car.,버스나 차를 타는 사람이에요.
The ___ of time flows.,시간의 [[경과]] 흐름.,passing,It describes the flow of time.,시간이 흐르는 것을 말해요.
It was only a ___ fancy.,그것은 단지 [[일시적인]] 생각이었어요.,passing,It describes something that lasts only for a short time.,잠깐 동안만 있는 것을 나타내요.
The ___ cars moved quickly.,그 [[지나가는]] 차들이 빨리 움직였어요.,passing,It describes something that goes by quickly.,빨리 지나가는 상태를 말해요.
I feel ____ every day.,나는 매일 [[열정]]을 느껴요.,passion,It is a strong feeling for what you truly love.,정말 좋아하는 것에 대한 강한 감정이에요.
Bring your ___ for the trip.,여행을 갈 때 [[여권]]을 꼭 가져가세요.,passport,You need it to travel abroad.,해외 여행 시 필요해요.
Enter the ___ to log in.,로그인하려면 [[암호]]를 입력해요.,password,It is a secret word for logging in.,로그인할 때 쓰는 비밀 단어예요.
She will ___ her torn jacket.,그녀는 찢어진 재킷을 [[덧대]]할 거예요.,patch,Rearrange these letters!: T A C P H,다음 글자들을 재배열 해보세요!: T A C P H
He found a ___ on his shirt.,그는 셔츠에 [[반점]]을 발견했어요.,patch,It is a small mark or spot.,작은 얼룩이나 자국이에요.
They explored a ___ in the park.,그들은 공원 안에서 [[지역]]을 탐험했어요.,patch,It is a small piece of land.,작은 땅의 일부에요.
I sew a ___ on my jeans.,나는 내 청바지에 [[패치]]를 꿰매요.,patch,You use it to fix holes.,이것으로 구멍을 메꿔요.
The quilt has a ___ of bright color.,퀼트에는 밝은 색의 [[부분]]이 있어요.,patch,"It is a small area, often different in color or texture.",색이나 질감이 다른 작은 부분이에요.
The ___ was full of colors.,그것은 여러 색의 [[조각보]]였어요.,patchwork,It is made by sewing many fabric pieces.,여러 천 조각을 꿰매서 만들어요.
She shows ___ during the exam.,그녀는 시험 동안 [[참을성]]을 보여요.,patience,You wait calmly without complaining.,불평 없이 차분하게 기다리는 거예요.
I need to ___ for dinner.,나는 저녁 식사 값을 [[지불]]해요.,pay,You give money for things you buy.,물건을 살 때 돈을 내는 행동이에요.
I get ___ for work.,나는 일한 후에 [[급료]]를 받아요.,pay,It is money you earn when you work.,일할 때 받는 돈이에요.
Always ___ your surroundings.,항상 주변에 [[유의]]해요.,pay attention to,You carefully focus on what matters.,중요한 것에 집중하는 행동이에요.
"Kids, please ___ when I speak.","얘들아, 내가 말할 때 [[집중]]해요.",pay attention to,"When you listen carefully, you do this action.",수업 시간에 선생님의 말을 잘 듣는 행동이에요.
I ___ dinner.,나는 저녁 값을 [[치르다]].,pay for,How do you buy something?,뭔가를 살 때 하는 행동은?
I saw the ___ in the garden.,나는 정원에서 [[공작]]을 봤어요.,peacock,It is a bird with bright feathers.,밝은 깃털을 가진 새예요.
At the ___ of the mountain.,그 산은 [[절정]]이에요.,peak,It is the top point of a mountain.,산의 가장 높은 부분이에요.
I climbed the ___ of the hill.,나는 언덕의 [[봉우리]]를 올랐어요.,peak,It is the top of a mountain.,산의 꼭대기예요.
He climbed to the ___.,그는 산의 [[정점]]에 올랐어요.,peak,It is the top of a mountain.,산의 가장 높은 부분이에요.
The mountain is at its ___.,산은 [[절정]]에 있어요.,peak,It is the highest point of a mountain.,산의 가장 높은 부분을 말해요.
She found a ____ in the oyster.,그녀는 굴 속에서 [[진주]]를 찾았어요.,pearl,"It is a small, round gem from an oyster.",굴 속에서 찾은 작고 둥근 보석이에요.
He ___ed through the window.,그는 창문으로 [[자세히 보]]았어요.,peer,You look closely when you do this.,멀리 있는 것을 자세히 볼 때 하는 행동이에요.
The ___ was invited to dinner.,그 [[귀족]]은 저녁 식사에 초대되었어요.,peer,A person of high social rank.,높은 사회적 지위를 가진 사람을 말해요.
A ___ is of the same age.,내 [[또래]]는 동갑이에요.,peer,A friend who is the same age as you.,너와 같은 나이의 친구예요.
The animals are in the ___.,동물들은 [[우리]] 안에 있어요.,pen,It is an enclosure for animals.,동물을 넣는 우리예요.
I write with ___.,나는 [[펜]]으로 글을 써요.,pen,It is a tool for writing.,글씨를 쓸 때 사용하는 도구예요.
The soccer player took a ___.,축구선수가 [[패널티 킥]] 찼어요.,penalty kick,It is a shot in soccer given when a foul occurs in the area.,파울이 발생한 후에 축구 경기장에서 차는 슛이에요.
The ___ swims in cold water.,그 [[펭귄]]은 차가운 물에서 수영해요.,penguin,This bird cannot fly and lives in icy areas.,이 새는 날지 못하고 추운 곳에 살아요.
Many ___ live here.,많은 [[사람들]] 여기 살아요.,people,They are individuals who make up a group.,그들은 모여서 그룹을 이루는 개인들이에요.
I ___ the color of the sky.,나는 하늘의 색깔을 [[인식]]해요.,perceive,You use your eyes to understand things.,눈으로 무언가를 알아봐요.
She scored 100 ___ in math.,그녀는 수학에서 100 [[퍼센트]] 받았어요.,percent,It indicates a ratio out of one hundred.,백분율을 나타내는 단어예요.
They watched a ___ at school.,그들은 학교에서 [[공연]]을 봤어요.,performance,It is a live show on a stage.,무대에서 열리는 공연이에요.
The actor's _____ was amazing.,그 배우의 [[연기]]가 훌륭했어요.,performance,It is when an actor shows skill on stage.,배우가 무대에서 능력을 보일 때예요.
Her ___ was good.,그녀의 [[성과]]가 좋았어요.,performance,It is when actors and singers entertain on stage.,배우와 가수가 무대에서 즐겁게 보여주는 거예요.
The show had a great ___.,쇼에는 훌륭한 [[수행]]이 있었어요.,performance,It is an act that people watch.,사람들이 보는 행동이에요.
My phone's ___ is good.,내 전화의 [[성능]]이 좋아요.,performance,It tells how well something works.,어떤 것이 잘 작동하는지 알려줘요.
She asked for ___ at the store.,그녀는 가게에서 [[허락]]을 요청했어요.,permission,You get this when someone agrees to your request.,누군가 당신의 부탁을 받아주면 이것을 받아요.
She stays _______ despite many problems.,그녀는 많은 문제에도 [[끈질긴]] 자세를 보였어요.,persistent,You keep trying even when things are hard.,어려울 때도 계속 노력하는 것을 의미해요.
He is very ______ at work.,그는 직장에서 매우 [[지속되는]] 사람이에요.,persistent,They do not stop trying.,멈추지 않고 계속 해봐요.
He shared his ___ story.,그는 자신의 [[개인]] 이야기를 나눴어요.,personal,How do you describe something only for yourself?,자신만의 것에 대해 어떻게 말할까요?
The ___ took a picture.,그 [[사진사]]가 사진을 찍었어요.,photographer,They take pictures for work.,일 때문에 사진을 찍는 사람이에요.
I take ___ every weekend.,나는 매주 [[사진]]을 찍어요.,photography,It means taking pictures with a camera.,카메라로 사진을 찍는 것을 뜻해요.
I learned a new ___ today.,나는 새로운 [[어구]]를 배웠어요.,phrase,It is a group of words used together.,함께 쓰이는 단어들의 모음이에요.
He likes to study ___.,그는 대학교에서 [[물리학]]을 공부해요.,physics,It is the science of matter and energy.,물질과 에너지에 관한 과학이에요.
The ___ played at the concert.,그는 음악회에서 [[피아니스트]]였어요.,pianist,They play a keyboard instrument.,건반 악기를 연주하는 사람이에요.
I ___ a peach.,나는 복숭아를 [[따]]요.,pick,You do this when you remove fruit from a tree.,나무에서 과일을 딸 때 하는 행동이에요.
I will ___ the apple.,나는 사과를 [[선택]]했어요.,pick,You do this when choosing one thing from many options.,여러 가지 중 하나를 선택할 때 하는 행동이에요.
She will ___ a flower.,그녀는 꽃을 [[따]]요.,pick,How do you take a flower from a branch?,꽃을 가지에서 딸 때 하는 행동은 무엇일까요?
He holds a ___ to break rocks.,그는 돌을 부수기 위해 [[곡괭이]]를 들고 있어요.,pick,This tool is used to break hard ground.,단단한 땅을 부수는 도구예요.
I ___ my outfit.,나는 내 옷을 [[고르다]].,pick out,It means to choose one option from many.,여러 가지 중에서 하나를 선택하는 거예요.
I will ___ a book.,나는 책을 [[구입]]할 거예요.,pick up,You go to a shop to buy something.,가게에서 물건을 살 때 쓰는 표현이에요.
I will ___ the parcel.,나는 소포를 [[수령]]해요.,pick up,"You collect something waiting for you, like a package.","기다리는 물건을 받아요, 예를 들어 택배처럼요."
The vacuum ___ all the dirt.,청소기가 먼지를 [[빨아들]]어요.,pick up,It is used when a machine takes something from the ground.,기계가 바닥에서 무언가를 가져올 때 쓰는 말이에요.
I ___ the ball.,나는 [[줍다]] 공을.,pick up,When you want to lift something from the floor.,바닥에 있는 물건을 들어 올릴 때 쓰는 말이에요.
I will ___ my mom.,나는 엄마를 [[차에 태우]]러 가요.,pick up,It means to get someone into your car.,어떤 사람을 차에 태우는 의미예요.
She can ___ Spanish quickly.,그녀는 스페인어를 빠르게 [[배우]]어요.,pick up,You use this word when you learn something by doing it.,직접 해 보면서 배우는 상황에서 쓰는 단어예요.
I will ___ my bag.,나는 가방을 [[찾다]]할 거예요.,pick up,It means to collect something from a place.,어떤 곳에서 물건을 모으는 행동을 말해요.
